id,label,text,view
0,SplashActivity,Tu alegi preţul! > Steag PieseAuto.ro,android.widget.LinearLayout android.widget.LinearLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.ListView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout
1,StartActivity,Contul meu Contul meu Cererile mele Cererile mele Adaugă cerere Adaugă cerere Politica de confidenţialitate Termeni şi condiţii Cere ofertă acum! Exemplu: Bara fata rosie Renault Megane 2014 Ce piesă auto cauţi? PieseAuto.ro,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout
2,UserInactiveActivity,Login Ai deja cont? Creează cont,android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.Button android.view.View android.widget.TextView android.widget.Button android.view.View
3,RequestsActivity,Contul meu Contul meu Cererile mele Cererile mele Adaugă cerere Adaugă cerere Momentan nu sunt cereri > OferteOfertă Cereri anulateCerere anulată Rezolvate Active,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.support.v4.widget.SwipeRefreshLayout android.widget.ScrollView android.widget.TextView android.support.v4.widget.SwipeRefreshLayout android.widget.ListView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RadioButton android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.ProgressBar android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView
4,RequestOfferAcceptedActivity,Contul meu Contul meu Cererile mele Cererile mele Adaugă cerere Adaugă cerere vei fi contactat în scurt timp de către vânzător Felicitări comanda ta a fost trimisă OK,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView
5,Dialog_3_Simple_StepsActivity,Nu mai afişa acest mesaj Am înţeles Află mai multe Tu alegi oferta câştigătoare 3 Vei primi oferte de preţ (piese noi şi din dezmembrări) 2 Ceri ofertă pentru piesă 1,android.widget.ScrollView android.widget.LinearLayout android.widget.CheckBox android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TableRow android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TableRow android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
6,MakeRequestActivity,Cere ofertă acum! Modifică Zona de livrare Modifică Piesă nouă sau second? Modifică Maşina Poza Exemplu: Bara fata rosie Renault Megane 2014 Ce piesă auto cauţi?,android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.EditText android.widget.TextView
7,SelectCarActivity,Alege maşina pentru care cauţi piesă,android.widget.LinearLayout android.view.View android.widget.ListView android.widget.RelativeLayout android.widget.RadioButton android.widget.TextView android.widget.RelativeLayout android.widget.RadioButton android.widget.TextView android.view.View android.widget.TextView
8,PictureAddActivity,Şterge Poza Nu sunt poze adăugate Poze adăugate > Adaugă şi alte poze Poza,android.widget.LinearLayout android.view.View android.widget.ListView android.widget.RelativeLayout android.widget.Button android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
9,PicturesGridActivity,Fă o poză Poza,android.widget.GridView android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
