id,label,text,view
0,LoginActivity,REGISTER LOGIN   LOGIN,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.view.FloatLabeledEditText android.widget.EditText android.widget.TextView com.csform.android.kasirusaha.font.MaterialDesignIconsTextView android.widget.LinearLayout com.csform.android.kasirusaha.view.FloatLabeledEditText android.widget.EditText android.widget.TextView com.csform.android.kasirusaha.font.MaterialDesignIconsTextView com.csform.android.kasirusaha.font.RobotoTextView
1,RegisterActivity,REGISTER       REGISTER,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView android.view.View android.widget.LinearLayout android.widget.Spinner com.csform.android.kasirusaha.font.MaterialDesignIconsTextView android.widget.LinearLayout com.csform.android.kasirusaha.view.FloatLabeledEditText android.widget.EditText android.widget.TextView com.csform.android.kasirusaha.font.MaterialDesignIconsTextView android.widget.LinearLayout com.csform.android.kasirusaha.view.FloatLabeledEditText android.widget.EditText android.widget.TextView com.csform.android.kasirusaha.font.MaterialDesignIconsTextView android.widget.LinearLayout com.csform.android.kasirusaha.view.FloatLabeledEditText android.widget.EditText android.widget.TextView com.csform.android.kasirusaha.font.MaterialDesignIconsTextView android.widget.LinearLayout com.csform.android.kasirusaha.view.FloatLabeledEditText android.widget.EditText android.widget.TextView com.csform.android.kasirusaha.font.MaterialDesignIconsTextView android.widget.LinearLayout com.csform.android.kasirusaha.view.FloatLabeledEditText android.widget.EditText android.widget.TextView com.csform.android.kasirusaha.font.MaterialDesignIconsTextView com.csform.android.kasirusaha.font.RobotoTextView
2,MainActivity,null,android.widget.LinearLayout android.support.v4.widget.DrawerLayout android.widget.ListView com.csform.android.kasirusaha.view.MaterialRippleLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.MaterialDesignIconsTextView com.csform.android.kasirusaha.view.MaterialRippleLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView android.widget.FrameLayout android.support.v7.widget.Toolbar
3,PenjualanExtActivity,SAVE BACK Catatan Catatan Type name Nama Customer Biaya (Biaya kirim atau lainnya) Additional cost Tax % Tax (%) Diskon % Diskon (%) SAVE BACK Discount (%) Discount Quantity Quantity Edit price Price,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout android.view.View android.widget.EditText com.csform.android.kasirusaha.font.RobotoTextView android.view.View android.widget.AutoCompleteTextView com.csform.android.kasirusaha.font.RobotoTextView android.view.View android.widget.EditText com.csform.android.kasirusaha.font.RobotoTextView android.view.View android.widget.EditText com.csform.android.kasirusaha.font.RobotoTextView android.view.View android.widget.EditText com.csform.android.kasirusaha.font.RobotoTextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout android.view.View android.widget.EditText com.csform.android.kasirusaha.font.RobotoTextView android.view.View android.widget.EditText com.csform.android.kasirusaha.font.RobotoTextView android.view.View android.widget.EditText com.csform.android.kasirusaha.font.RobotoTextView
4,RingkasanPesananActivity,Note Note Type name Customer Name Discount (%) : 0% Tax (%) : Sub Total: Discount Touch me x PAYMENT SAVE DELETE,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.EditText com.csform.android.kasirusaha.font.RobotoTextView android.view.View android.widget.AutoCompleteTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.RelativeLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView
5,ListPesananActivity,- Click button (+) red to create new transaction +,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView android.widget.RelativeLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView
6,PenjualanActivity,0 0 0 - 0 nama barang PL main image MAKANAN   NEXT DONE SAVE Rp0 -,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.RelativeLayout com.csform.android.kasirusaha.font.RobotoTextView android.widget.ImageView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.MaterialDesignIconsTextView com.csform.android.kasirusaha.font.MaterialDesignIconsTextView android.widget.EditText com.csform.android.kasirusaha.font.MaterialDesignIconsTextView android.widget.RelativeLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView
7,PenjualanBayarActivity,0 0 0 0 0 Card number CREDIT CARD CASH Payment Type CHARGE 0 Payment,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout android.widget.EditText com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.RelativeLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView
8,PenjualanSelesaiActivity,NEW RECEIPT Cash payment Change main image,android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.ImageView
9,PenjualanLandscape1Activity,- Click button (+) red to create new transaction +,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView android.widget.RelativeLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView
10,PenjualanLandscape2Activity,0 0 0 - 0 %) 0 nama barang PL main image 0 0 0 - 0 %) 0 nama barang PL main image   NEXT DONE SAVE - 0,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.RelativeLayout com.csform.android.kasirusaha.font.RobotoTextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.RelativeLayout com.csform.android.kasirusaha.font.RobotoTextView android.widget.ImageView android.widget.LinearLayout com.csform.android.kasirusaha.font.MaterialDesignIconsTextView com.csform.android.kasirusaha.font.MaterialDesignIconsTextView android.widget.EditText com.csform.android.kasirusaha.font.MaterialDesignIconsTextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView
11,PenjualanScannerActivity,Place Barcode / QR Code inside the rectangle Place Barcode / QR Code inside the rectangle 00000 0000 0000 00000 Price Unlisted Item Tipe Format Barcode Image NEXT DONE SAVE -,android.widget.FrameLayout android.widget.TextView com.csform.android.kasirusaha.util.ViewfinderView android.view.SurfaceView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView com.csform.android.kasirusaha.util.ViewfinderView android.view.SurfaceView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView
12,PenjualanLandscape3Activity,Note Note Type name Customer Name Discount (%) : Sub Total: 0 Tax (%) : Discount Touch me x PAYMENT SAVE DELETE,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.EditText com.csform.android.kasirusaha.font.RobotoTextView android.view.View android.widget.AutoCompleteTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView android.widget.RelativeLayout android.widget.LinearLayout com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView com.csform.android.kasirusaha.font.RobotoTextView
