id,label,text,view
0,HomeActivity,Set Lock Screen MoreApps PrivacyPolicy,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
1,PrivacyPolicyActivity,�( ​ This document explai https://sweetprincessgames.wixsite.com/privacypolicy Privacy Policy,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
2,PromoWall,Loading application list... No applications at the moment. Draw on Photos Finger Painting,android.widget.RelativeLayout android.widget.RelativeLayout android.support.constraint.ConstraintLayout android.widget.ProgressBar android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.support.v7.widget.RecyclerView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
3,MainActivity,Customize Set Password Enable Lock Screen,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.CheckBox android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
4,CustomizeActivity,Set Battery Set Notifications Set Date Format Set Time Format Set Background Done,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
5,VIEW,null,null
6,TimeFormatActivity,SWIPE TO UNLOCK Wed 7/9/2016 60% Done 24h Am/Pm,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
7,NotificationsActivity,SWIPE TO UNLOCK Wed 7/9/2016 pm 60% Done Missed Call and SMS,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.CheckBox android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
8,DateFormatActivity,SWIPE TO UNLOCK Wed 7/9/2016 pm 60% Done Format Date,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.CheckBox android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
9,BackgroundSetActivity,Set Background,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.support.v7.widget.RecyclerView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
10,BatteryActivity,SWIPE TO UNLOCK Wed 7/9/2016 am 60% Done Battery,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.CheckBox android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
11,LoadingActivity,null,android.support.constraint.ConstraintLayout com.wang.avi.AVLoadingIndicatorView android.widget.ImageView android.widget.ImageView android.widget.ImageView
