id,label,text,view
0,MainActivity,Item Icon Item Icon,android.support.v4.widget.DrawerLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.FrameLayout
1,LoginActivity,Forgot Password ? Sign up Login Password length should be between 6-10 ###-####### PUNKCHit,android.widget.ScrollView android.widget.TableLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.AutoCompleteTextView android.widget.AutoCompleteTextView android.widget.TextView
2,noInternet,RETRY NO INTERNET CONNECTIONTo access all of our content you need an internet connection. Please try again.,android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.ImageView
3,LogoActivity,Loading... PUNKCHit Puncture..? Don't worry we are here,android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
4,LOCATION_SOURCE_SETTINGS,null,null
5,SignUpActivity,Sign up Password length should be between 6-10 ###-####### ###-####### PUNKCHit,android.widget.ScrollView android.widget.TableLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.AutoCompleteTextView android.widget.AutoCompleteTextView android.widget.AutoCompleteTextView android.widget.TextView
6,HelpInLogin,SUBMIT Lost your device? (Verify OTP sent on your registered number and your current device will be changed.) Forgot Password? (Your password will be sent to your registered number) ###-#######,android.widget.ScrollView android.widget.TableLayout android.widget.LinearLayout android.widget.Button android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.AutoCompleteTextView
7,common_otp_verify,*If OTP is not received in 30 sec. please click on back button to reprocess. Verify,android.widget.LinearLayout android.widget.TableLayout android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.AutoCompleteTextView
8,verifyOtp,*Click on back button to resend OTP Verify (Kindly get the OTP from puncture shop.) Enter OTP to upgrade your app.,android.widget.LinearLayout android.widget.TableLayout android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.AutoCompleteTextView android.widget.TextView android.widget.TextView
9,AppUpgrade,Proceed *Enter coupen code we will send OTP to puncture shop to upgrade the app. Use puncture shop coupen (Get flat discount of ₹10) Online payment will be totally secure using Google Payments Direct Upgrade (Pay online) Upgrade for ₹60,android.widget.ScrollView android.widget.TableLayout android.widget.LinearLayout android.widget.Button android.widget.AutoCompleteTextView android.widget.RadioGroup android.widget.TextView android.widget.RadioButton android.widget.TextView android.widget.RadioButton android.widget.TextView
