id,label,text,view
0,SplashActivity,Loading..,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
1,MainActivity,More From Developer,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.FrameLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.ImageView
2,CollageActivity,Select a Grid to edit. Select another grid to swap! Down Up Right Left Zoom Out Zoom In +10 -10 Vertical horizontal Right Left Filter Inside Fill Delete Swap Filter Sticker Text Ratio Space Background Blur Stickers Layout Blur 9:16 16:9 5:7 4:5 3:4 4:3 2:3 3:2 1:2 2:1 1:1 Corner Space Size SAVE CANCEL,android.widget.RelativeLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.ImageView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button com.agingapp.boothpro.utils.MyViewFlipper android.view.View android.widget.LinearLayout android.widget.SeekBar android.widget.TextView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.SeekBar android.widget.TextView android.widget.LinearLayout android.widget.SeekBar android.widget.TextView android.widget.LinearLayout android.widget.SeekBar android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.ImageView android.support.v7.widget.RecyclerView android.support.v7.widget.RecyclerView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout
3,IMAGE_CAPTURE,null,null
4,HomeScreen,null,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout
5,Saved_Work,No Images Found Delete All Saved work,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.ProgressBar android.support.v7.widget.RecyclerView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView
6,Exit_Act,Exit application Close App check out our other amazing apps More Apps Please provide your valuable feedback FeedBack visit Body Body Body asd Show your love on Play Store Rate us Back to main screen Back to App Face Aging App,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.FrameLayout com.google.android.gms.ads.formats.UnifiedNativeAdView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.google.android.gms.ads.formats.MediaView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.RatingBar android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView
7,MirrorNewActivity,Filter Text Frame Effect Ratio Shape Mirror 9:16 16:9 5:7 4:5 3:4 4:3 2:3 3:2 1:2 2:1 1:1 Save Close,android.widget.RelativeLayout com.agingapp.boothpro.activities.MirrorNewActivity$j android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button com.agingapp.boothpro.utils.MyViewFlipper android.view.View android.widget.FrameLayout android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout
8,SaveImageActivity,More Facebook Whatsapp Instagram,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.support.v7.widget.Toolbar
9,StickerListActivity,0 Item Selected,android.support.v4.widget.DrawerLayout android.support.v7.widget.RecyclerView android.widget.RelativeLayout android.widget.ImageView android.support.v7.widget.RecyclerView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
