id,label,text,view
0,Best_Eve_HT_MainActivity,Fitness Workouts,android.widget.LinearLayout android.widget.LinearLayout android.support.v4.view.ViewPager android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton
1,Best_Eve_HT_Setting_Activity,Reminder : 8:00AM Fitness Workouts,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ToggleButton android.widget.TextView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
2,MAIN,null,null
3,Best_Eve_HT_Video_play,Play,android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout com.google.android.youtube.player.YouTubePlayerView com.google.android.youtube.player.internal.n android.widget.ProgressBar android.widget.TextView com.google.android.youtube.player.internal.n android.widget.ProgressBar android.widget.TextView com.google.android.youtube.player.YouTubeThumbnailView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
4,Best_Eve_HT_ExeList,null,null
5,Best_Eve_HT_DashBoardScreen,21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 Medium Plan 2,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView
6,Best_Eve_HT_DayExerciseDetails,s s Reps Exercise,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView
7,Best_Eve_HT_ExerciseScreen,Next Exercise is 15 Fitness Workouts,android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView com.besteverhinditips.manarmworkoutsstrongarmintwentyonedays.Best_Eve_HT_WaveView android.widget.LinearLayout com.besteverhinditips.manarmworkoutsstrongarmintwentyonedays.Best_Eve_HT_NonSwipeableViewPager android.widget.RelativeLayout android.widget.TextView
8,Best_Eve_HT_CongratulationScreen,Congratulation completed day1 Day,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
9,Best_Eve_HT_SelfieScreen,s s Challange Completed 6:45 AM Fitness Workouts,android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.view.SurfaceView
