id,label,text,view
0,SplashActivity,CopyRights © 2018 Cooler Master COOL DOWN YOUR PHONE IN SECONDS CPU Cooler - Phone Cooler master,android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView
1,GraphActivity,Detect Overheating Apps 27 Temperature is not Ok °C°C°F CPU Cooler - Phone Cooler master,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Button com.google.android.gms.ads.NativeExpressAdView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout com.CPU_Cooler_Cooling_Master.Phone_Cleaner_Booster.mastercooler.optimizer_cleaner_virus.ArcProgress com.CPU_Cooler_Cooling_Master.Phone_Cleaner_Booster.mastercooler.optimizer_cleaner_virus.ArcProgress android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
2,HomeScreen,BlueTooth Scanning the phone...,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ImageView android.widget.FrameLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout com.CPU_Cooler_Cooling_Master.Phone_Cleaner_Booster.mastercooler.optimizer_cleaner_virus.Animation.ProgressWheel android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout com.CPU_Cooler_Cooling_Master.Phone_Cleaner_Booster.mastercooler.optimizer_cleaner_virus.Animation.ProgressWheel android.widget.ImageView android.widget.ImageView
3,RunningApps,Its Optimizing Overheating apps Its Optimizing Overheating apps Please wait ... Heating up and slowing down your phone Apps(s) Cool Down CPU is overheated! °F Cool Down,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.RelativeLayout android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView
4,CoolingTips,Done �sAfter being closed some applications might automatically re-launch themselves causing the temperature to rise a Cause for normal phone temperature rising ��High phone temperature affects the phone performance pf the phone making it slow freeze or restart. A phone that is running at high temperature for too long might cause the electronic components inside to hear out and decrease the phone's lif Damages caused by overheating �=Due to poor design some applications might constantly use What causes overheating Rate us � By Monitor How does CPU Cool Master Cool down your phone Please lock and leave your phone for a while so it can cool down more effectively and efficiently. Just Cooled and Optimized °F°C°C Don't need to worry Its normal behaviour for the battery temperature to rise while phone is using. Phone temperature is little high °F°C°C CPU Cooler - Phone Cooler master,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.RelativeLayout android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout com.google.android.gms.ads.NativeExpressAdView android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.TextView
5,SettingActivity,Off On Show notification when overheated CPU Cooler Notification °C °F Temperature Unit Off On Sound Add apps to prevent of cooling process Ignore List Feedback More Apps Rate Us CPU Cooler - Phone Cooler master 2.2.2 Settings,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout com.google.android.gms.ads.NativeExpressAdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView
6,SEND,null,null
7,IgnoreListActivity,Remove Tap ' + ' to add apps to ignore list so they don't get closed Ignore List,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button com.google.android.gms.ads.AdView android.widget.ImageView android.widget.TextView android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView
8,AlreadyOptimize,Done Exit Please lock and leave your phone for a while so it can cool down more effectively and efficiently. Overheated apps have been killed Already Cooled!,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.Button com.google.android.gms.ads.AdView android.widget.TextView android.widget.TextView android.widget.TextView
9,Help,�sAfter being closed some applications might automatically re-launch themselves causing the temperature to rise a Cause for normal phone temperature rising ��High phone temperature affects the phone performance pf the phone making it slow freeze or restart. A phone that is running at high temperature for too long might cause the electronic components inside to hear out and decrease the phone's lif Damages caused by overheating �=Due to poor design some applications might constantly use What causes overheating � By Monitor How does CPU Cool Master Cool down your phone Help,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView com.google.android.gms.ads.NativeExpressAdView android.widget.RelativeLayout android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView com.google.android.gms.ads.NativeExpressAdView android.widget.RelativeLayout android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView
