id,label,text,view
0,Splesh,null,android.widget.LinearLayout android.widget.LinearLayout
1,HomePageActivity,Fare Rules Station Amenities Map Parking Fare Route Bangalore Metro,android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView
2,RouteActivity,Purple Line Show Route Show Route Select Destination Metro Station To : Select Source Metro Station Form : Bangalore Metro,android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView
3,SourseStation,Enter Station Name Select Metro Station Name,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.LinearLayout requestFocus android.widget.EditText android.widget.RelativeLayout android.widget.TextView
4,Fare_Activity,**A Group of 25 Passengers. /- **Group Ticket /- Stored Value Ticket - Varshik /- Token Fare Calculator Select Destination Metro Station To : Select Source Metro Station Form : Bangalore Metro,android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.RelativeLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView
5,ParkingActivity,1500 /- Per Month. * 4 Wheeler 750 /- Per Month. * 2 Wheeler You can also avail monthly pass 10 /- 1 /- 1 /- hours Cycle 30 /- 5 /- 15 /- 2 wheeler 60 /- 10 /- 30 /- 4 wheeler 150 /- 25 /- 75 /- Heavy Vehicles 24 Hours Severy subsequent hour 4 hours Type Of Vehicle Metro Station Parking Fare Bangalore Metro,android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView
6,FareRuleActivity,Overstay Rule: A passenger holding a valid ticket can exit from same station within 20 minutes and from other stations within 120 minutes. For overstaying in paid area of Namma Metro beyond these limits penalty of Rs.10/- per hour is charged subject to a maximum of Rs.50/-. => Mismatch: The Automatic Gates record entry/ exit details in token / Smart card. Every entry at these gates must be followed by proper exit through the gates on same day. Skipping of any entry or exit is termed as MISMATCH. The penalty for mismatch is Rs.10/-. => Penalty for ticketless travel or lost ticket is Rs.50/- apart from maximum token fare. => Minimum Fare will be charged for entering into a station. => The Automatic Gates admit one person at a time. Hence every passenger needs to carry one token or smart card. => Tickets are not required for children below 3 feet. No age criteria is considered. => Fare Rules Bangalore Metro,android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView
7,MapActivity,Bangalore Metro,android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.webkit.WebView android.widget.LinearLayout android.widget.ImageView android.widget.TextView
8,StationAmeniti,Courier Services Car Repair Petrol Pump Groceries Pharmacies Coffee Shop Pizza Movie Theater Bank ATM Hotel Hospitals Search Select Metro Station Form : Bangalore Metro,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView
9,PlaceListActivity,DB Mall MP Nagar Category: %.1fKM Pizza Hut Near ATM,android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView
