id,label,text,view
0,BlendMainActivity,You can add more than one photo Click here to erase selected photo Click here to adjust mixing Click here to add photos Click here to add background Slide to adjust mixing Touch on photo to erase Touch on photo Click here when done Click here to delete selected photo Click here to start over Clear Adjust Photos Backgrounds Impose,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.SeekBar android.widget.RelativeLayout android.widget.LinearLayout android.widget.SeekBar android.widget.SeekBar android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout appiz.photoblender.blendmephotomixer.ko android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.RelativeLayout
1,BlendCropActivity1,Crop,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.Button android.widget.Button com.edmodo.cropper.CropImageView com.edmodo.cropper.cropwindow.CropOverlayView android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.ImageButton
2,BlendPhotoEditor,Compare Editor,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.Button android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.ImageButton android.widget.TextView android.widget.RelativeLayout
3,IMAGE_CAPTURE,null,null
4,BlendShareActivity,More Rate Share Share,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.TextView
5,BlendTextActivity,Text,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.ImageButton android.widget.TextView
6,BlendStickerActivity,Stickers,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.ImageButton android.widget.TextView
7,BlendBorderActivity,Color Compare Border,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.FrameLayout android.widget.SeekBar android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.ImageButton android.widget.TextView
8,BlendFramesActivity,Compare Frames,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.ImageButton android.widget.TextView
9,BlendOverlaysActivity,Compare Overlays,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.ImageButton android.widget.TextView
