id,label,text,view
0,MainActivity,Received Looksies Requests Map View logout As long as you're there capture a venue for others to search and find! It's super easy! Add a venue Request a looxie from anywhere by selecting the area on the map! Drop pin Request a looxie from a specific venue by searching for it! Search venues Change your color on the map to indicate that you are super-eager to send looxies! Become eager! Check out the looxies you received from other reporters here! Your looxies Have people requested looxies from you? Respond to them here! Received requests MORE Total points You have 10 Bulletin likes (x2pt.) We give you 5 points for each Looxie like you receive and 1 point for every venue you enter! Number of venues you captured Your accomplishments and level! Are you or have you ever been a Featured Reporter? Your profile DO IT! NO THANKS Request a photo from all current Looxie users around the world! You only get to do it once! Initiate First Contact Finding... Finding... Finding... Finding... Tap to send a request! Active users' locations Unfolding map... ...or roll the dice! Drop a pin! 0 0 0 0 0 0 'Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum' What our users are shooting right now Around the world! Loading announcements! And enjoying it while doing it! Your location services are turned off. Consider turning them on for extra awesomeness and proper functionality Gr Se Vi optional message here! CANCEL SEND Looxie,android.widget.RelativeLayout android.support.v4.widget.SwipeRefreshLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ProgressBar android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.ProgressBar android.widget.TextView android.view.View android.view.View android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ProgressBar android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ProgressBar android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.ProgressBar android.widget.ImageView android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.ProgressBar android.widget.ImageView android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.ProgressBar android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.support.v7.widget.Toolbar android.widget.TextView android.widget.ImageView
1,GoogleMapActivity,you can enter details about your request here... PIN DROPPED Looksie SEND LOCAL REQUEST! By hiding your location from the map you will not be able to enjoy the full functionality of Looxie! You will receive less to no requests and you will not be able to level up and get new features. Not our idea of fun! Hide my location on the map Looxie,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.Switch android.widget.TextView android.support.v7.widget.Toolbar android.widget.TextView android.widget.ImageView
2,ResetPasswordActivity,RESET PASSWORD After clicking Reset Password you will receive an email containing info on how to (duh) reset your password. Cheers! your email Looxie,android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.EditText android.support.v7.widget.Toolbar android.widget.TextView android.widget.ImageView
3,RegisterActivity,register log in confirm password Forgot password? password e-mail Your reporter everywhere! Looxie,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.EditText android.widget.ProgressBar android.widget.TextView android.widget.EditText android.widget.EditText android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.ImageView
4,ProfileActivity,Your total competition votes: Number of venues captured: Bulletin likes: Looxie likes: Your 2017 competition stats username... username + LEVEL 5 Looxie,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.LinearLayout android.view.View android.view.View android.view.View android.view.View android.view.View android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.TextView com.saladdressing.looksie.graphix.CircularImageView android.widget.ImageView android.view.View android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.support.v7.widget.Toolbar android.widget.TextView android.widget.ImageView android.widget.ProgressBar
5,AddVenueActivity,Tap the flag icon to capture this location! Submit! NO YES A venue with the same name has been entered nearby. You can still enter it but you will not receive a Looxie Point for it. Proceed? please enter a venue name... Atlantis Lost City CAFE Add a venue name Looxie,android.widget.RelativeLayout android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.EditText android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.widget.ImageView android.support.v7.widget.Toolbar android.widget.TextView android.widget.ImageView
6,SearchActivity,search! Next time you're there you can capture the location yourself by going to the Add Venue screen. It's really easy! No venues or locations found! Request a Looxie from Looxie,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.ListView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.view.View android.widget.ImageView android.support.v7.widget.Toolbar android.widget.TextView android.widget.ImageView
7,RequestListActivity,I have no request and I must shoot! Looxie requests time out after 24 hours to keep Looxies fresh! You have no recent requests Looxie,android.widget.RelativeLayout android.widget.TextView android.widget.ProgressBar android.widget.TextView android.widget.TextView android.widget.ListView android.support.v7.widget.Toolbar android.widget.TextView android.widget.ImageView
8,ReceivedLooksiesActivity,It is more likely for a blind man to defeat an invisible opponent than for a disconnected device to download your looxies Confucius (probably) Drop a request on the map or request a Looxie by searching for a venue You have no Looxies! Looxie,android.widget.RelativeLayout android.widget.TextView android.widget.ProgressBar android.widget.ListView android.widget.TextView android.widget.TextView android.support.v7.widget.Toolbar android.widget.TextView android.widget.ImageView
9,IMAGE_CAPTURE,null,null
