id,label,text,view
0,OrderListActivity,Tap untuk memuat ulang porsi Product KONFIRMASI DIPROSES Catatan : Customer : Driver : Total : Rp - # porsi Product KONFIRMASI DIPROSES Catatan : Customer : Driver : Total : Rp - # JARAK,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout com.pnikosis.materialishprogress.ProgressWheel android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView com.amangojek.merchant.utils.RoundedImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView com.amangojek.merchant.utils.RoundedImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.support.v7.widget.Toolbar
1,HomeActivity,Logout Logout Edit Akun Bank Ganti Password Account Add Item Catalog Dashboard Kangen Water Kajen My Business History History Deposit Mutasi Withdraw Inbox 2 Atur stock 2 Daftar Pesanan Status LAYANAN locationLokasi : Register Login name email,android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.Button android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.Switch android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.view.View android.widget.ImageView android.support.v7.widget.Toolbar
2,MutationActivity,Income Order: 16052600010 DEBIT 10.280.000 10.280.000 30/10/16 Transaction Note Type Balance Amount Date,android.widget.RelativeLayout com.pnikosis.materialishprogress.ProgressWheel android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.LinearLayout android.support.v7.widget.Toolbar
3,CatalogActivity,Tap untuk memuat ulang Jumlah Kosong Stock Rp - Title title ... JARAK,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout com.pnikosis.materialishprogress.ProgressWheel android.widget.ListView android.widget.RelativeLayout android.widget.EditText android.widget.RelativeLayout android.widget.Switch android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.support.v7.widget.Toolbar
4,CreditActivity,TOPUP Jumlah yang di transfer Silakan input jumlah deposit Anda Rp old_credit SALDO BERKAH ANDA Selamat datang di BERKAH Wallet -dompet dalam aplikasi Anda! Di sini Anda dapat menyetor voucher dan tanpa tunai,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.support.v7.widget.Toolbar
5,ChangePasswordActivity,SIMPAN Password baru (Ulangi) Password baru Password lama,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText android.support.v7.widget.Toolbar
6,LoginActivity,Masuk Password Email logo,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.Button android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.ImageView
7,HistoryActivity,tanggal Isi HARGA,android.widget.RelativeLayout com.pnikosis.materialishprogress.ProgressWheel android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.support.v7.widget.Toolbar
8,ProfileActivity,SIMPAN Nama Akun No. Rekening Referal ID untuk orang yang Anda ajak Bank INFORMASI BANK SIMPAN Gender name Nama email Email phone Phone Referal ID untuk orang yang Anda ajak userid USER ID INFORMASI PERSONAL,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.ProgressBar android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.Spinner android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.ProgressBar android.widget.Button android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.support.v7.widget.Toolbar
9,InboxActivity,Ketik pesan dan tekan Enter tanggal Isi tanggal Isi HARGA,android.widget.RelativeLayout android.widget.LinearLayout android.widget.EditText com.pnikosis.materialishprogress.ProgressWheel android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.support.v7.widget.Toolbar
