id,label,text,view
0,MainActivity,Phone cooler Battery saver Empty cleaner Phone booster Battery m 37 : h 11 87 RAM MB / MB % clean,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView me.itangqi.waveloadingview.WaveLoadingView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
1,PhoneBooster,Optimize clean Scanning...,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.support.v7.widget.RecyclerView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView come.bost.fast.ShimmerFrameLayout android.widget.LinearLayout android.widget.ImageView
2,Ac_CleanEmpty,0/10,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.support.v7.widget.RecyclerView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView
3,CoolerDown,Cooling down...,android.widget.RelativeLayout com.skyfishjy.library.RippleBackground com.skyfishjy.library.RippleBackground$RippleView android.widget.TextView android.widget.ImageView
4,BatterySaver2,% Battery profiles % Battery profiles % Battery profiles App usage info. for last 24 hours Optimize Now minute 6 hour 3 Remaining: Remaining: Draining Fast Battery saver,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView me.itangqi.waveloadingview.WaveLoadingView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
5,SettingsApp,Show warning when battery is less than 15% Low battery Automatically turn off wifi when the battery is less than 10% Wifi Allows the app to automatically empty the cache Automatically clear the cache Allows sound alert when charging disconnects abruptly Anti Theft Alarm Sound alert vibrate when battery is fully charged Full battery alarm Allow vibration when device temperature is high Vibrate Allows the app to sound alerts when temperatures are high Sound warning Allows the app to display a notification in the toolbar Notify user Settings,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
6,PhoneBoosterFinish,Finish Thank You PROCESS KILLED: clean,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
7,Ac_AppManager,Nguyễn văn thanh Apps manager,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
8,Ac_CoolerDown_Finish,Finish Thank You ℃ Reduced temperature Phone cooler,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
9,BatterySaver,Optimize m : h Time left Battery saver,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout com.skyfishjy.library.RippleBackground com.skyfishjy.library.RippleBackground$RippleView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout come.bost.fast.HoloCircularProgressBar android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.Button android.support.v7.widget.RecyclerView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView com.gelitenight.waveview.library.WaveView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
