id,label,text,view
0,MainActivity,Enter Password: UserName: USER LOGIN 0 0,android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.ImageView
1,ListaGuasti,Next 5 4 3 2 1 Back Select request type: 0,android.widget.RelativeLayout android.view.View android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.ListView android.view.View android.widget.TextView android.widget.LinearLayout android.widget.ImageView
2,MatricolaActivity,Line 0 Serial Number Reference number Next 5 4 3 2 1 Back 0,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.ImageButton android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.ImageView
3,Z01Activity,Frequency with which the fault occurs? Allarm/s accour Describe the alarm/s code/s Is a mechanical problem? Next 5 4 3 2 1 Back CMS Service Online CMS Service Online 0,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.Spinner android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ToggleButton android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageButton
4,Z02Activity,Problem during software running if YES specify withc software Problem during CNC-program generation if YES specify used CAD/CAM software Problem during CNC-program execution if YES specify alarm/s code/s Next 5 4 3 2 1 Back CMS Service Online CMS Service Online 0,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageButton
5,Z03Activity,Type of requested information IF technical problem specify whether alarm/s appear IF YES enter alarm/s code/s and text IF technical nature specify whether the problem is mechanical The information requested is of a technical nature Next 5 4 3 2 1 Back CMS Service Online CMS Service Online 0,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ToggleButton android.widget.TextView android.widget.ToggleButton android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageButton
6,Z04Activity,Spare-part/s Next 5 4 3 2 1 Back CMS Service Online CMS Service Online 0,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageButton
7,Z05Activity,Spare-part/s description Next 5 4 3 2 1 Back CMS Service Online CMS Service Online 0,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageButton
8,RiepilogoActivity,Attached Image 0 Request summary Send 5 4 3 2 1 Back CMS Service Online CMS Service Online 0,android.widget.RelativeLayout android.view.View android.widget.ProgressBar android.widget.TextView android.widget.ImageView android.webkit.WebView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageButton
9,ImmagineActivity,Delete Choose Take 0 Next 5 4 3 2 1 Back CMS Service Online CMS Service Online 0,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.ImageView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageButton
