id,label,text,view
0,Splash,null,android.widget.RelativeLayout
1,MainActivity,Large Text Large Text Retry Wallpaper Template is temporary unavailable. This is probably due to a poor network connectivity. Please try again once you have a better netwok connectivity. No data available,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.widget.DrawerLayout android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.GridView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.EditText android.widget.RelativeLayout
2,Categories,Large Text Large Text Retry Wallpaper Template is temporary unavailable. This is probably due to a poor network connectivity. Please try again once you have a better netwok connectivity. No data available Text,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.widget.DrawerLayout android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.GridView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout
3,MostLike,Large Text Large Text Retry Wallpaper Template is temporary unavailable. This is probably due to a poor network connectivity. Please try again once you have a better netwok connectivity. No data available,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.widget.DrawerLayout android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.GridView android.widget.RelativeLayout
4,Offline,Large Text Large Text No data available,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.widget.DrawerLayout android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.GridView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout
5,Setting,Large Text Large Text BLACK DARK GRAY BLUE GRAY BROWN DEEP ORANGE ORANGE AMBER LIGHT GREEN GREEN TEAL CYAN BLUE INDIGO DEEP PURPLE PURPLE PINK RED,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.widget.DrawerLayout android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout
6,CategoryDeatilpage,No data available,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.GridView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.TextView
7,Detailpage,of Next >,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.ImageView android.widget.ImageView android.widget.Button android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.view.ViewPager android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.RelativeLayout android.widget.Button
8,OfflineDeatilPage,of,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.view.ViewPager android.widget.RelativeLayout android.widget.TextView android.widget.Button
9,UploadImage,Large Text Large Text New Button Select Photo New Button UPLOAD NOW,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.widget.DrawerLayout android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.EditText android.widget.RelativeLayout android.widget.ImageView android.widget.Spinner android.widget.RelativeLayout
