id,label,text,view
0,ClockActivity,Save 0 : 11080510060002070401030900 2018 OCT 12,android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ImageView coo.timelockerapp.apptp.CustomView.AnalogClock android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView
1,HomeActivity,My Pictures Clock Vault,android.support.constraint.ConstraintLayout com.google.android.gms.ads.AdView android.widget.GridView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.TextView android.widget.ImageView
2,DecoyLocker,Decoy Locker,android.widget.RelativeLayout android.widget.GridView android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.TextView android.widget.ImageView
3,SetPasswordActivity,Save Set desired time password and press centre button of clock 0 : 08030905110010020407010006,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ImageView coo.timelockerapp.apptp.CustomView.AnalogClock
4,PasswordRecovery,Registered e-mails email Your email ��In case you forgot your passwordwe will send it to your email id.Set clock hands to 10:10 and click centre button for password recove Password Recovery,android.widget.LinearLayout android.widget.ListView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.view.View android.support.v7.widget.Toolbar android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
5,Settings,When you place your phone face downthis app will be closed Facedown lock Change icons Advanced Settings email Password Recovery Email Change clock and app lock password Change Password Security Settings,android.widget.ScrollView android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.Switch android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.support.v7.widget.Toolbar
6,AppLockActivity,AppLock,android.support.constraint.ConstraintLayout com.google.android.gms.ads.AdView android.support.v7.widget.RecyclerView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView
7,MediaAddedActivity,Tap on Plus Button to import new files. No Files Media,android.support.constraint.ConstraintLayout com.google.android.gms.ads.AdView android.support.design.widget.FloatingActionButton android.support.v7.widget.RecyclerView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView
8,OPEN_DOCUMENT_TREE,null,null
9,USAGE_ACCESS_SETTINGS,null,null
10,ChangePassword,Save Set desired time password and press centre button of clock 0 : 00060005020104110708031009,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ImageView coo.timelockerapp.apptp.CustomView.AnalogClock
11,AdvancedSettings,Replace default app icon Change App Icon Advanced Settings,android.widget.LinearLayout com.google.android.gms.ads.AdView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.support.v7.widget.Toolbar
12,ChangeAppIcon,��Replacing App icon may take 2–3 minutes depending on phones launcher.If new icon does not appear then restarting phone will do the Note : Select Secret Icon Change Icon,android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.view.View android.support.v7.widget.Toolbar
13,FakePassword,View contents of decoy locker Change Fake Password Create a second password that opens to the decoy locker. Enabled Fake Password,android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.Switch android.widget.TextView android.view.View android.support.v7.widget.Toolbar
14,LockPasswordScreenActivity,Forgot password ? Passoword Clock Vault,android.support.constraint.ConstraintLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView
